SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	11101	745652	69130
0	11102	716833	43229
1	11102	32301	32301
2	11102	68	68
0	11103	711834	1143
1	11103	18451	18451
2	11103	23303	23303
0	11104	693376	1757
1	11104	29144	29144
2	11104	37302	37302
0	12101	684474	969
1	12101	20659	20659
2	12101	24596	24596
0	12102	736028	38621
0	12103	702120	49514
1	12103	39281	39281
2	12103	6	6
0	12104	718795	11772
1	12104	13177	13177
2	12104	12671	12671
0	13101	676402	2932
1	13101	29096	29096
2	13101	35967	35967
0	13102	707192	1112
1	13102	16615	16615
2	13102	24152	24152
0	13103	711433	1033
1	13103	18269	18269
2	13103	22343	22343
0	13104	756000	64737
1	13104	1	1
0	21101	706557	1016
1	21101	17345	17345
2	21101	22362	22362
0	21102	710761	1378
1	21102	17355	17355
2	21102	24509	24509
0	21103	714081	1391
1	21103	16986	16986
2	21103	22882	22882
0	21104	758329	49435
0	22101	703416	18759
1	22101	28208	28208
2	22101	18456	18456
0	22102	713971	1034
1	22102	15789	15789
2	22102	22573	22573
0	22103	707478	1821
1	22103	20466	20466
2	22103	30033	30033
0	22104	718882	1494
1	22104	15717	15717
2	22104	23638	23638
0	23101	702513	1687
1	23101	17838	17838
2	23101	24145	24145
0	23102	709060	1169
1	23102	19706	19706
2	23102	27270	27270
0	23103	718603	1010
1	23103	16464	16464
2	23103	23000	23000
0	23104	760713	84775
