rxn05785	rxn05785	
rxn05784	rxn05784	R00166
rxn05783	rxn05783	R00165
rxn05782	Phosphoprotein phosphohydrolase	R00164
rxn05781	ATP:protein phosphotransferase	R00162
rxn05780	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	
rxn05779	rxn05779	R00146
rxn05778	rxn05778	R00145
rxn05777	ATP:ammonia phosphotransferase	
rxn05776	rxn05776	R00135
rxn05775	NADPH:ferrileghemoglobin oxidoreductase	R00109
rxn05774	NADPH:ferricytochrome-c2 oxidoreductase	R00108
rxn05773	NADH:ferrileghemoglobin oxidoreductase	R00101
rxn05772	NADH:ferricytochrome-b5 oxidoreductase	R00100
rxn05771	Ferrocytochrome c2:oxygen oxidoreductase	R00082
rxn05770	[Phosphorylase a] phosphohydrolase	R00077
rxn05769	ATP:phosphorylase-b phosphotransferase	
rxn05768	rxn05768	
rxn05767	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	R00067
rxn05766	Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)	R00061
rxn05765	Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)	R00060
rxn05764	Thiol:oxygen oxidoreductase	R00057
rxn05763	Dinucleotide nucleotidohydrolase	R00056
rxn05762	Chloride:hydrogen-peroxide oxidoreductase	
rxn05761	Long-chain-alcohol:oxygen oxidoreductase	R00041
rxn05760	L-Glutamate:ferredoxin oxidoreductase (transaminating)	
rxn05759	Reduced ferredoxin:H+ oxidoreductase	R00019
rxn05758	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	
rxn05757	Polyphosphate polyphosphohydrolase	
rxn05749	succinate dehydrogenase	
rxn05748	nitrate reductase	
rxn05747	NADH dehydrogenase (Menaquinone 7 & cpd00418 proton)	
rxn05746	Maltodextrin glucosidase (maltotriose)	
rxn05745	Methyl-cis-aconitase	
rxn05744	b-ketoacyl synthetase (n-C14:0)	
rxn05743	inositol catabolic reactions (lumped)	
rxn05740	cpd00155 phosphorylase	
rxn05739	glycerol-3-phosphate dehydrogenase (menaquinone 7)	
rxn05737	FMN-dependent monooxygenase (taurine)	
rxn05736	fatty-acid--CoA ligase (tetradecanoate)	
rxn05735	aldehyde dehydrogenase (aminoacetaldehyde, NAD)	
rxn05734	aldehyde dehydrogenase (glyoxylate, NAD)	
rxn05733	cysteine synthase (Thiosulfate)	R04859
rxn05731	Taurocholic Acid transport in via proton symport	
rxn05732	acyl-CoA dehydrogenase (hexadecanoyl-CoA)	
rxn05730	Tetrathionate transport in via proton symport	
rxn05727	2-Deoxy-D-Glucose 6-Phosphate transport in via proton symport	
rxn05728	Thiosulfate transport in via proton symport	
rxn05726	Phosphono Acetic Acid transport in via proton symport	
rxn05725	2-Aminoethyl Phosphonic Acid transport in via proton symport	
rxn05724	Cytidine- 2'- Monophosphate transport in via proton symport	
rxn05723	Phosphocreatine transport in via proton symport	
rxn05719	Cytidine- 3',5'-Cyclic Monophosphate transport in via proton symport	
rxn05720	Guanosine- 3',5'-Cyclic Monophosphate transport in via proton symport	
rxn05721	Adenosine- 2'-Monophosphate transport in via proton symport	
rxn05722	Trimetaphosphate transport in via proton symport	
rxn05717	Tripolyphosphate transport in via proton symport	
rxn05718	Phosphoryl Choline transport in via proton symport	
