Inorganic pyrophospatase PpaX	rxn00001
Inorganic pyrophosphatase (EC 3.6.1.1)	rxn00001
Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1)	rxn00001
Allophanate hydrolase	rxn00002
Allophanate hydrolase (EC 3.5.1.54)	rxn00002
Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)	rxn00002
Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	rxn00002
Catalase (EC 1.11.1.6)	rxn00006
Cytoplasmic trehalase (EC 3.2.1.28)	rxn00007
Trehalase (EC 3.2.1.28)	rxn00007
Glyoxylate carboligase (EC 4.1.1.47)	rxn00010
Acetolactate synthase large subunit (EC 2.2.1.6)	rxn00011
Acetolactate synthase small subunit (EC 2.2.1.6)	rxn00011
Acetolactate synthase small subunit (EC 2.2.1.6), Xanthomonadales type	rxn00011
Acetolactate synthase small subunit (EC 2.2.1.6), predicted	rxn00011
Acetolactate synthase small subunit (EC 2.2.1.6), predicted, Archaeal type	rxn00011
Acetolactate synthase small subunit (EC 2.2.1.6), predicted, Archaeal type 2	rxn00011
Acetolactate synthase, catabolic (EC 2.2.1.6)	rxn00011
Pyruvate decarboxylase (EC 4.1.1.1)	rxn00011
Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	rxn00011
Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	rxn00011
Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	rxn00011
Beta-hexosaminidase (EC 3.2.1.52)	rxn00016
Ribulose bisphosphate carboxylase (EC 4.1.1.39)	rxn00018
Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn00018
Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn00018
Beta-glucosidase (EC 3.2.1.21)	rxn00020
Periplasmic beta-glucosidase (EC 3.2.1.21)	rxn00020
Alpha-glucosidase (EC 3.2.1.20)	rxn00022
Maltodextrin glucosidase (EC 3.2.1.20)	rxn00022
Oligo-1,6-glucosidase (EC 3.2.1.10)	rxn00022
Porphobilinogen synthase (EC 4.2.1.24)	rxn00029
D(-)-3-hydroxybutyrate oligomer hydrolase (EC 3.1.1.22)	rxn00038
Riboflavin synthase archaeal (EC 2.5.1.9)	rxn00048
Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	rxn00048
Ferroxidase (EC 1.16.3.1)	rxn00056
Alternative cytochrome c oxidase polypeptide CoxM (EC 1.9.3.1)	rxn00058
Alternative cytochrome c oxidase polypeptide CoxN (EC 1.9.3.1)	rxn00058
Alternative cytochrome c oxidase polypeptide CoxO (EC 1.9.3.1)	rxn00058
Alternative cytochrome c oxidase polypeptide CoxP (EC 1.9.3.1)	rxn00058
Cytochrome C oxidase (EC 1.9.3.1) FixO chain	rxn00058
Cytochrome c oxidase  polypeptide IVB (EC 1.9.3.1)	rxn00058
Cytochrome c oxidase  polypeptide VB (EC 1.9.3.1)	rxn00058
Cytochrome c oxidase  polypeptide VIIC (EC 1.9.3.1)	rxn00058
Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	rxn00058
Cytochrome c oxidase polypeptide I (EC 1.9.3.1),putative	rxn00058
Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	rxn00058
Cytochrome c oxidase polypeptide IIA (EC 1.9.3.1)	rxn00058
Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	rxn00058
