scaffoldId	begin	end	strand	desc	old_locus_tag	new_locus_tag
NC_008313.1	689	2455	+	gene	H16_A0001	H16_RS00005
NC_008313.1	2823	3938	+	gene	H16_A0002	H16_RS00010
NC_008313.1	4168	6693	+	gene	H16_A0003	H16_RS00015
NC_008313.1	6960	9467	+	gene	H16_A0004	H16_RS00020
NC_008313.1	9460	10728	+	gene	H16_A0005	H16_RS33875
NC_008313.1	10728	14048	+	gene	H16_A0006	H16_RS00030
NC_008313.1	14053	14766	+	gene	H16_A0007	H16_RS00035
NC_008313.1	14773	17151	+	gene	H16_A0008	H16_RS00040
NC_008313.1	17166	18512	+	gene	H16_A0009	H16_RS00045
NC_008313.1	18786	19367	+	gene	H16_A0010	H16_RS33935
NC_008313.1	19324	20442	-	gene	H16_A0011	H16_RS33940
NC_008313.1	20763	21458	-	gene	H16_A0012	H16_RS34920
NC_008313.1	21451	22332	-	gene	H16_A0013	H16_RS00060
NC_008313.1	22436	23551	-	gene	H16_A0014	H16_RS33945
NC_008313.1	24045	24374	+	gene	H16_A0015	H16_RS00065
NC_008313.1	24477	25730	-	pseudogene	H16_A0016	H16_RS00070
NC_008313.1	25791	25871	-	pseudogene	NA	H16_RS34925
NC_008313.1	26086	27081	-	gene	H16_A0017	H16_RS00075
NC_008313.1	27081	31499	-	gene	H16_A0018	H16_RS00080
NC_008313.1	31501	32241	-	gene	H16_A0019	H16_RS00085
NC_008313.1	32238	33665	-	gene	H16_A0020	H16_RS00090
NC_008313.1	34101	34339	-	pseudogene	NA	H16_RS33950
NC_008313.1	34342	34863	-	gene	H16_A0021	H16_RS00095
NC_008313.1	34860	35474	-	gene	H16_A0022	H16_RS00100
NC_008313.1	35471	36031	-	gene	H16_A0023	H16_RS33955
NC_008313.1	37110	39752	-	gene	H16_A0025	H16_RS00105
NC_008313.1	40214	41011	-	gene	H16_A0026	H16_RS00110
NC_008313.1	41967	42650	+	gene	H16_A0028	H16_RS00115
NC_008313.1	43345	45238	+	pseudogene	H16_A0029	H16_RS00120
NC_008313.1	45247	46362	+	gene	H16_A0030	H16_RS00125
NC_008313.1	46589	47896	-	gene	H16_A0031	H16_RS00130
NC_008313.1	48020	48952	-	gene	H16_A0032	H16_RS00135
NC_008313.1	49037	49819	-	gene	H16_A0033	H16_RS00140
NC_008313.1	49916	50698	+	gene	H16_A0034	H16_RS00145
NC_008313.1	50803	51450	-	gene	H16_A0035	H16_RS00150
NC_008313.1	51548	52525	+	gene	H16_A0036	H16_RS00155
NC_008313.1	52570	53445	+	gene	H16_A0037	H16_RS00160
NC_008313.1	53508	54359	+	gene	H16_A0038	H16_RS00165
NC_008313.1	54433	54647	+	pseudogene	NA	H16_RS33970
NC_008313.1	54625	55197	-	gene	H16_A0039	H16_RS33975
NC_008313.1	55253	55639	-	gene	H16_A0040	H16_RS00170
NC_008313.1	55714	56439	-	gene	H16_A0041	H16_RS00175
NC_008313.1	56446	57621	-	gene	H16_A0042	H16_RS00180
NC_008313.1	57621	59015	-	gene	H16_A0043	H16_RS00185
