scaffold	begin	end	strand	desc	old_locus_tag	new_locus_tag
NZ_CP037867.1	1	1407	+	gene	HPF_00005	HPF_RS00005
NZ_CP037867.1	1540	2646	+	gene	HPF_00010	HPF_RS00010
NZ_CP037867.1	2817	5354	+	gene	HPF_00015	HPF_RS00015
NZ_CP037867.1	5404	5709	+	gene	HPF_00020	HPF_RS00020
NZ_CP037867.1	5693	6931	+	gene	HPF_00025	HPF_RS00025
NZ_CP037867.1	7066	7848	+	gene	HPF_00030	HPF_RS00030
NZ_CP037867.1	7881	8666	-	gene	HPF_00035	HPF_RS00035
NZ_CP037867.1	8825	9262	-	gene	HPF_00040	HPF_RS00040
NZ_CP037867.1	9324	9689	+	gene	HPF_00045	HPF_RS00045
NZ_CP037867.1	9758	10813	-	gene	HPF_00050	HPF_RS00050
NZ_CP037867.1	10819	12519	-	gene	HPF_00055	HPF_RS00055
NZ_CP037867.1	12516	13712	-	gene	HPF_00060	HPF_RS00060
NZ_CP037867.1	13726	14589	-	gene	HPF_00065	HPF_RS00065
NZ_CP037867.1	14981	15277	+	gene	HPF_00070	HPF_RS00070
NZ_CP037867.1	15349	16635	-	gene	HPF_00075	HPF_RS00075
NZ_CP037867.1	16639	17106	-	gene	HPF_00080	HPF_RS00080
NZ_CP037867.1	17126	17365	+	gene	HPF_00085	HPF_RS00085
NZ_CP037867.1	17435	18043	+	gene	HPF_00090	HPF_RS00090
NZ_CP037867.1	18062	20554	-	gene	HPF_00095	HPF_RS00095
NZ_CP037867.1	20572	24081	-	gene	HPF_00100	HPF_RS00100
NZ_CP037867.1	24127	24477	-	gene	HPF_00105	HPF_RS00105
NZ_CP037867.1	24493	25335	-	gene	HPF_00110	HPF_RS00110
NZ_CP037867.1	25339	27684	-	gene	HPF_00115	HPF_RS00115
NZ_CP037867.1	27704	30394	-	gene	HPF_00120	HPF_RS00120
NZ_CP037867.1	30428	33019	-	gene	HPF_00125	HPF_RS00125
NZ_CP037867.1	33069	34871	-	gene	HPF_00130	HPF_RS00130
NZ_CP037867.1	34874	37405	-	gene	HPF_00135	HPF_RS00135
NZ_CP037867.1	37727	38392	+	gene	HPF_00140	HPF_RS00140
NZ_CP037867.1	38415	39980	-	gene	HPF_00145	HPF_RS00145
NZ_CP037867.1	40117	41364	+	gene	HPF_00150	HPF_RS00150
